City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,East London,ZA,-33.0153,27.9116,62.56,64,2,7.65,clear sky
79,Avarua,CK,-21.2078,-159.775,73.45,68,40,12.66,scattered clouds
80,Sola,VU,-13.8833,167.55,80.6,79,11,18.9,few clouds
81,Codrington,AU,-38.2667,141.9667,47.01,85,17,12.24,few clouds
82,Namtsy,RU,62.7161,129.6658,68.38,76,54,2.51,broken clouds
83,Araci,BR,-11.3333,-38.9667,81.59,44,94,7.4,overcast clouds
84,Maceio,BR,-9.6658,-35.7353,83.64,65,75,14.97,broken clouds
85,Punta Arenas,CL,-53.15,-70.9167,35.71,75,20,27.63,few clouds
86,Rosarito,MX,32.3333,-117.0333,83.41,61,100,9.6,overcast clouds
87,Namibe,AO,-15.1961,12.1522,64.47,81,0,5.32,clear sky
88,Faya,SA,18.3851,42.4509,69.91,53,96,5.93,overcast clouds
89,Port Keats,AU,-14.25,129.55,67.51,32,20,8.01,few clouds
90,Saskylakh,RU,71.9167,114.0833,48.24,73,99,11.21,overcast clouds
91,Nanortalik,GL,60.1432,-45.2371,52.23,73,6,14.2,clear sky
92,Esperance,AU,-33.8667,121.9,53.44,72,63,18.45,broken clouds
93,Nokaneng,BW,-19.6667,22.2667,69.55,35,90,11.21,overcast clouds
94,Valparaiso,CL,-33.0393,-71.6273,57.43,82,20,6.91,haze
95,Veraval,IN,20.9,70.3667,82.0,80,100,15.12,overcast clouds
96,Atuona,PF,-9.8,-139.0333,77.16,76,12,15.84,few clouds
97,Cururupu,BR,-1.8283,-44.8683,85.55,58,55,4.43,broken clouds
98,Flin Flon,CA,54.7682,-101.865,62.44,67,100,13.8,overcast clouds
99,Nador,MA,35.174,-2.9287,84.27,74,40,4.61,scattered clouds
100,Angoche,MZ,-16.2325,39.9086,72.48,69,1,5.79,clear sky
101,Rudbar,AF,30.15,62.6,97.81,10,1,3.98,clear sky
102,Butaritari,KI,3.0707,172.7902,80.01,76,69,3.67,broken clouds
103,Pandan,PH,14.0453,124.1694,81.32,84,17,7.25,few clouds
104,Dzhebariki-Khaya,RU,62.2167,135.8,66.42,69,95,2.95,overcast clouds
105,Vanimo,PG,-2.6741,141.3028,78.22,86,100,2.06,moderate rain
106,Barcelos,PT,41.5388,-8.6151,85.91,51,6,5.91,clear sky
107,Ahuimanu,US,21.4447,-157.8378,75.85,87,100,9.22,light rain
108,Kysyl-Syr,RU,63.8986,122.7617,60.85,98,100,7.58,overcast clouds
109,Yerkoy,TR,39.6381,34.4672,72.19,33,0,6.46,clear sky
110,Hofn,IS,64.2539,-15.2082,55.42,76,75,5.75,broken clouds
111,Teya,RU,60.3778,92.6267,56.25,86,73,2.42,broken clouds
112,Vila,PT,42.0304,-8.1588,80.71,50,0,7.7,clear sky
113,Dapaong,TG,10.8639,0.205,85.26,52,99,3.0,overcast clouds
114,Geraldton,AU,-28.7667,114.6,61.63,62,54,11.65,broken clouds
115,Turukhansk,RU,65.8167,87.9833,56.75,77,68,7.38,broken clouds
116,Ancud,CL,-41.8697,-73.8203,41.23,82,100,13.13,light rain
117,Sitka,US,57.0531,-135.33,55.29,88,100,5.75,overcast clouds
118,Cayenne,GF,4.9333,-52.3333,87.84,5,20,9.22,few clouds
119,Hay River,CA,60.8156,-115.7999,64.38,59,40,16.11,scattered clouds
120,La Ronge,CA,55.1001,-105.2842,62.85,59,75,19.57,broken clouds
121,Lagoa,PT,39.05,-27.9833,72.82,80,72,4.41,broken clouds
122,Norman Wells,CA,65.282,-126.8329,60.84,88,75,2.3,broken clouds
123,Olafsvik,IS,64.8945,-23.7142,52.47,77,84,2.39,broken clouds
124,Shache,CN,38.4167,77.2406,84.7,12,7,6.51,clear sky
125,Chokurdakh,RU,70.6333,147.9167,37.53,55,94,7.54,overcast clouds
126,Tigil,RU,57.8,158.6667,53.37,83,19,3.13,few clouds
127,Buzmeyin,TM,38.0507,58.2056,92.93,21,0,6.91,clear sky
128,Dwarka,IN,22.2394,68.9678,82.92,81,98,18.68,overcast clouds
129,Kasongo,CD,-4.45,26.6667,79.92,34,28,3.29,scattered clouds
130,Saldanha,ZA,-33.0117,17.9442,51.85,73,50,9.04,scattered clouds
131,Havre-Saint-Pierre,CA,50.2334,-63.5986,73.76,49,40,10.36,scattered clouds
132,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,40,14.97,light rain
133,Bengkulu,ID,-3.8004,102.2655,75.63,92,72,4.23,broken clouds
134,Koppang,NO,61.5706,11.0555,71.47,64,100,4.56,overcast clouds
135,Laukaa,RU,58.7372,29.8453,74.66,60,0,5.17,clear sky
136,Basco,PH,20.4487,121.9702,85.26,80,8,13.6,clear sky
137,Jalu,LY,29.0331,21.5482,91.51,19,0,11.72,clear sky
138,Dicabisagan,PH,17.0818,122.4157,80.94,85,47,1.54,scattered clouds
139,Buluang,PH,13.3068,123.3425,78.06,90,25,3.36,scattered clouds
140,Castro,BR,-24.7911,-50.0119,72.68,52,9,7.65,clear sky
141,Midleton,IE,51.9153,-8.1805,64.65,72,100,9.35,overcast clouds
142,Altay,CN,47.8667,88.1167,63.39,56,100,6.24,overcast clouds
143,Mayo,US,38.8876,-76.5119,95.34,63,20,9.22,few clouds
144,Peniche,PT,39.3558,-9.3811,78.3,78,74,16.31,broken clouds
145,Taman,RU,45.2117,36.7161,73.89,48,0,5.53,clear sky
146,Kodiak,US,57.79,-152.4072,53.11,94,75,3.44,broken clouds
147,Ponta Delgada,PT,37.7333,-25.6667,74.12,73,75,6.91,broken clouds
148,Mafeteng,LS,-29.823,27.2374,51.37,42,41,4.18,scattered clouds
149,Mahibadhoo,MV,3.7833,72.9667,82.8,74,100,14.12,overcast clouds
150,Avera,US,33.194,-82.5271,81.37,67,100,11.56,overcast clouds
151,Dezhou,CN,37.4486,116.2925,76.75,70,4,5.88,clear sky
152,Sao Filipe,CV,14.8961,-24.4956,75.76,86,75,7.76,broken clouds
153,Strezhevoy,RU,60.7333,77.5889,57.7,92,100,3.78,overcast clouds
154,Garden City,US,42.3256,-83.331,89.02,49,20,16.11,few clouds
155,Deputatskiy,RU,69.3,139.9,37.65,90,4,4.36,clear sky
156,Ixtapa,MX,20.7,-105.2,91.22,70,40,4.61,scattered clouds
157,Upernavik,GL,72.7868,-56.1549,47.25,84,100,6.46,light rain
158,Songjianghe,CN,42.1859,127.479,59.88,98,100,1.01,overcast clouds
159,Nantucket,US,41.2835,-70.0995,82.54,90,100,12.66,mist
160,Dhidhdhoo,MV,6.8833,73.1,81.72,80,100,18.43,overcast clouds
161,Tasiilaq,GL,65.6145,-37.6368,42.96,73,91,2.77,overcast clouds
162,Hongjiang,CN,27.11,109.9956,76.82,91,71,3.98,broken clouds
163,Gornyy,RU,55.1153,83.9059,59.74,96,47,13.2,light rain
164,Hilo,US,19.7297,-155.09,76.28,100,75,4.61,mist
165,Teodoro Sampaio,BR,-22.5325,-52.1675,87.78,25,29,10.04,scattered clouds
