City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Hobart,AU,7/18/2022 1:47,-42.8794,147.3294,43.27,73,75,19.57
71,Bahia Blanca,AR,7/18/2022 1:44,-38.7196,-62.2724,51.53,43,62,15.05
72,Luwingu,ZM,7/18/2022 1:47,-10.2621,29.9271,47.14,83,76,4.07
73,Nome,US,7/18/2022 1:45,64.5011,-165.4064,55.47,71,100,16.11
74,Pisco,PE,7/18/2022 1:44,-13.7,-76.2167,62.02,82,5,11.5
75,Saint-Pierre,RE,7/18/2022 1:47,-21.3393,55.4781,67.68,82,100,27.63
76,Saint-Philippe,RE,7/18/2022 1:47,-21.3585,55.7679,67.59,86,65,16.6
77,Cayenne,GF,7/18/2022 1:42,4.9333,-52.3333,83.08,1,100,3
78,Jumla,NP,7/18/2022 1:47,29.2747,82.1838,66.97,80,85,1.52
79,Sudbury,CA,7/18/2022 1:47,46.49,-80.99,74.37,83,0,4.03
80,Medicine Hat,CA,7/18/2022 1:46,50.0501,-110.6683,90.03,28,0,8.05
81,Banjar,ID,7/18/2022 1:47,-8.19,114.9675,84.31,65,15,0.47
82,Kulu,TR,7/18/2022 1:47,39.0951,33.0799,64.8,66,0,12.5
83,Bredasdorp,ZA,7/18/2022 1:47,-34.5322,20.0403,51.55,88,1,4.03
84,Clyde River,CA,7/18/2022 1:47,70.4692,-68.5914,32.23,100,100,13.8
85,Saskylakh,RU,7/18/2022 1:47,71.9167,114.0833,53.26,40,100,10.8
86,Lavrentiya,RU,7/18/2022 1:47,65.5833,-171,36.79,75,98,22.59
87,Santa Rosa,PH,7/18/2022 1:47,14.3122,121.1114,85.1,82,81,2.55
88,Hjelset,NO,7/18/2022 1:47,62.7833,7.4833,54.57,82,100,3.44
89,Geraldton,AU,7/18/2022 1:47,-28.7667,114.6,61.21,94,55,6.91
90,Malindi,KE,7/18/2022 1:47,-3.2175,40.1191,73.24,83,17,10.98
91,Yulara,AU,7/18/2022 1:48,-25.2406,130.9889,64.33,15,87,15.43
92,Yellowknife,CA,7/18/2022 1:48,62.456,-114.3525,66.72,77,75,0
93,Princeton,US,7/18/2022 1:46,25.5384,-80.4089,85.01,86,20,4.61
94,Kodiak,US,7/18/2022 1:48,57.79,-152.4072,60.31,63,100,5.75
95,Coahuayana,MX,7/18/2022 1:48,18.7333,-103.6833,77.97,93,98,2.66
96,Kapaa,US,7/18/2022 1:48,22.0752,-159.319,84.52,80,75,13.8
97,Shingu,JP,7/18/2022 1:48,33.7333,135.9833,87.33,57,100,5.17
98,Puyang,CN,7/18/2022 1:48,29.4603,119.8861,80.53,90,100,3.47
99,Bethel,US,7/18/2022 1:48,41.3712,-73.414,75.49,85,100,3.06
100,Severo-Kurilsk,RU,7/18/2022 1:48,50.6789,156.125,56.71,93,100,0.18
101,Ribeira Grande,PT,7/18/2022 1:48,38.5167,-28.7,71.53,93,0,5.57
102,Ilulissat,GL,7/18/2022 1:48,69.2167,-51.1,53.62,50,18,3.44
103,San Patricio,US,7/18/2022 1:48,28.017,-97.5169,87.66,70,36,13.04
104,Kavaratti,IN,7/18/2022 1:48,10.5669,72.642,82.04,78,100,18.39
105,Neiafu,TO,7/18/2022 1:45,-18.65,-173.9833,81.28,69,40,8.05
106,Udala,ES,7/18/2022 1:48,43.0778,-2.5125,73.47,79,1,6.33
107,Mar Del Plata,AR,7/18/2022 1:46,-38.0023,-57.5575,53.1,55,0,13.8
108,Mezen,RU,7/18/2022 1:48,65.8522,44.24,59.27,78,100,3.31
109,Talnakh,RU,7/18/2022 1:48,69.4865,88.3972,56.21,55,100,1.1
110,Urumqi,CN,7/18/2022 1:46,43.801,87.6005,85.15,20,20,13.42
111,Asau,RO,7/18/2022 1:47,46.4333,26.4,54.52,74,20,4.07
112,Barrow,US,7/18/2022 1:48,71.2906,-156.7887,42.82,75,20,14.97
113,Torres,BR,7/18/2022 1:48,-29.3353,-49.7269,47.82,85,0,4.61
114,San Policarpo,PH,7/18/2022 1:48,12.1791,125.5072,83.41,75,100,4.32
115,Albany,US,7/18/2022 1:45,42.6001,-73.9662,78.17,78,100,3.98
116,Hami,CN,7/18/2022 1:48,42.8,93.45,87.35,19,90,7.14
117,Todos Santos,MX,7/18/2022 1:48,23.45,-110.2167,91.04,83,10,3.83
118,Naze,JP,7/18/2022 1:48,28.3667,129.4833,79.72,86,100,18.95
119,Henties Bay,NA,7/18/2022 1:48,-22.116,14.2845,65.26,49,1,3.87
120,Saint-Georges,GD,7/18/2022 1:48,12.0564,-61.7485,82.08,74,20,20.71
121,Mayumba,GA,7/18/2022 1:48,-3.432,10.6554,68.85,91,6,1.43
122,Matagami,CA,7/18/2022 1:48,49.7502,-77.6328,75.31,57,0,5.75
123,Leningradskiy,RU,7/18/2022 1:48,69.3833,178.4167,32.95,91,98,21.14
124,Orativ,UA,7/18/2022 1:48,49.1889,29.527,49.51,96,1,7.99
125,Slave Lake,CA,7/18/2022 1:45,55.2834,-114.769,75.18,50,0,8.05
126,Bubaque,GW,7/18/2022 1:48,11.2833,-15.8333,80.29,84,100,11.95
127,Dingle,PH,7/18/2022 1:48,10.9995,122.6711,75.24,96,100,3.27
128,Cherskiy,RU,7/18/2022 1:48,68.75,161.3,52.61,40,76,18.79
129,Milledgeville,US,7/18/2022 1:44,33.0801,-83.2321,82.54,77,0,0
130,Aklavik,CA,7/18/2022 1:48,68.2191,-135.0107,73.94,39,100,9.93
131,Baramati,IN,7/18/2022 1:48,18.15,74.5833,73.53,88,100,7.09
132,Kruisfontein,ZA,7/18/2022 1:48,-34.0033,24.7314,58.89,72,0,4.5
133,Gizo,SB,7/18/2022 1:48,-8.103,156.8419,84.52,64,7,4.54
134,La Esperanza,GT,7/18/2022 1:48,14.8667,-91.5667,56.53,98,100,4.85
135,Bagotville,AU,7/18/2022 1:48,-28.9833,153.4167,71.64,58,32,8.48
136,Georgetown,MY,7/18/2022 1:45,5.4112,100.3354,86.9,89,20,3.44
137,Santiago,CL,7/18/2022 1:46,-33.4569,-70.6483,52.99,56,75,4.61
138,Sire,NG,7/18/2022 1:49,12.9299,5.2043,77.43,77,100,6.98
139,Trimbak,IN,7/18/2022 1:49,19.9333,73.55,68.72,98,100,6.62
140,Molo,KE,7/18/2022 1:49,-0.2479,35.7374,51.12,98,100,3.06
141,Garowe,SO,7/18/2022 1:49,8.4054,48.4845,73.26,63,100,27.67
142,Imelda,PH,7/18/2022 1:49,7.65,123.95,77.72,89,100,1.3
143,Upernavik,GL,7/18/2022 1:49,72.7868,-56.1549,39.96,93,53,10.54
144,Chokurdakh,RU,7/18/2022 1:49,70.6333,147.9167,57.56,39,26,16.02
145,Meadow Lake,US,7/18/2022 1:47,34.8014,-106.5436,94.44,16,88,18.37
146,Gornyak,RU,7/18/2022 1:49,50.9942,81.4661,62.02,60,99,14.36
147,Concepcion Del Uruguay,AR,7/18/2022 1:49,-32.4825,-58.2372,43.99,90,7,8.16
148,Waw,SS,7/18/2022 1:49,7.7029,27.9953,70.29,97,100,3.6
149,Mamlyutka,KZ,7/18/2022 1:49,54.9375,68.5394,64.42,74,98,5.06
150,Luderitz,NA,7/18/2022 1:49,-26.6481,15.1594,61.59,55,2,7.09
151,Christchurch,NZ,7/18/2022 1:45,-43.5333,172.6333,64.6,34,97,29.93
152,Qom,IR,7/18/2022 1:49,34.6401,50.8764,82.51,14,0,4.45
153,Hasaki,JP,7/18/2022 1:49,35.7333,140.8333,86.29,82,100,2.55
